Time [s],Packet ID,MOSI,MISO
4.62580175,14026,0x0,0x0
4.6258165,14026,0xF,0x0
4.625833,14026,0x8,0x0
4.625848,14026,0x8,0x0
4.6258675,14027,0xD,0x0
4.6268505,14028,0xD,0x0
4.62787075,14029,0xA,0x0
4.62789125,14030,0x0,0x0
4.627906,14030,0xF,0x0
4.627923,14030,0x3,0x0
4.62793725,14030,0x8,0x0
4.62795675,14031,0xD,0x0
4.62894025,14032,0xD,0x0
4.6299235,14033,0xA,0x0
4.6299445,14034,0x0,0x0
4.62995925,14034,0xF,0x0
4.629976,14034,0x8,0x0
4.62999075,14034,0x8,0x0
4.63001025,14035,0xD,0x0
4.63099375,14036,0xD,0x0
4.6319985,14037,0xA,0x0
4.632019,14038,0x0,0x0
4.63203375,14038,0xF,0x0
4.6320505,14038,0x3,0x0
4.632065,14038,0x8,0x0
4.6320845,14039,0xD,0x0
4.63306825,14040,0xD,0x0
4.63405125,14041,0xA,0x0
4.634072,14042,0x0,0x0
4.634087,14042,0xF,0x0
4.6341035,14042,0x8,0x0
4.6341185,14042,0x8,0x0
4.634138,14043,0xD,0x0
4.63512125,14044,0xD,0x0
4.6361265,14045,0xA,0x0
4.636147,14046,0x0,0x0
4.63616175,14046,0xF,0x0
4.6361785,14046,0x3,0x0
4.636193,14046,0x8,0x0
4.6362125,14047,0xD,0x0
4.637196,14048,0xD,0x0
4.6381795,14049,0xA,0x0
4.63820025,14050,0x0,0x0
4.63821525,14050,0xF,0x0
4.63823175,14050,0x8,0x0
4.6382465,14050,0x8,0x0
4.63826625,14051,0xD,0x0
4.63924975,14052,0xD,0x0
4.640255,14053,0xA,0x0
4.6402755,14054,0x0,0x0
4.64029025,14054,0xF,0x0
4.640307,14054,0x3,0x0
4.6403215,14054,0x8,0x0
4.640341,14055,0xD,0x0
4.641324,14056,0xD,0x0
4.642307,14057,0xA,0x0
4.64232775,14058,0x0,0x0
4.64234275,14058,0xF,0x0
4.64235925,14058,0x8,0x0
4.642374,14058,0x8,0x0
4.64239375,14059,0xD,0x0
4.64337625,14060,0xD,0x0
4.64437225,14061,0xA,0x0
4.64439075,14062,0xE,0x0
4.644409,14063,0x0,0x0
4.644424,14063,0x5,0x0
4.644441,14063,0xA,0x0
4.64445575,14063,0x5,0x0
4.644473,14063,0xF,0x0
4.64448725,14063,0x6,0x0
4.6445045,14063,0x0,0x0
4.64451975,14063,0x0,0x0
4.644543,14063,0x7,0x0
4.64455725,14063,0xD,0x0
4.644578,14063,0x7,0x0
4.644592,14063,0x9,0x0
4.64461325,14063,0x0,0x0
4.64462825,14063,0x0,0x0
4.64464975,14063,0xF,0x0
4.644664,14063,0x0,0x0
4.64468175,14063,0x5,0x0
4.64469625,14063,0x5,0x0
4.64472675,14064,0xA,0x0
4.644747,14065,0x0,0x0
4.644762,14065,0xF,0x0
4.64477875,14065,0x3,0x0
4.644793,14065,0x8,0x0
4.64481275,14066,0xD,0x0
4.64579625,14067,0xD,0x0
4.64677925,14068,0xA,0x0
4.6468,14069,0x0,0x0
4.646815,14069,0xF,0x0
4.6468315,14069,0x8,0x0
4.64684625,14069,0x8,0x0
4.646866,14070,0xD,0x0
